"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"RichFactor"	"FoldEnrichment"	"zScore"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"BP"	"GO:0031295"	"T cell costimulation"	"2/20"	"48/18888"	0.0416666666666667	39.35	8.66122043630634	0.00116696439879947	0.0243908055021922	0.0162326299013445	"CD28/CD3E"	2
"BP"	"GO:0007409"	"axonogenesis"	"4/20"	"455/18888"	0.00879120879120879	8.30241758241758	5.13343308215674	0.00118505984140202	0.0243908055021922	0.0162326299013445	"OLFM1/DRAXIN/LGI1/ADCY1"	4
"BP"	"GO:0031294"	"lymphocyte costimulation"	"2/20"	"49/18888"	0.0408163265306122	38.5469387755102	8.56795556803045	0.00121585085885278	0.0243908055021922	0.0162326299013445	"CD28/CD3E"	2
"BP"	"GO:0016064"	"immunoglobulin mediated immune response"	"3/20"	"208/18888"	0.0144230769230769	13.6211538461538	5.95903376686149	0.00130680387416288	0.0243908055021922	0.0162326299013445	"IL13RA2/CD27/CD28"	3
"BP"	"GO:0050851"	"antigen receptor-mediated signaling pathway"	"3/20"	"208/18888"	0.0144230769230769	13.6211538461538	5.95903376686149	0.00130680387416288	0.0243908055021922	0.0162326299013445	"CD3D/CD28/CD3E"	3
"BP"	"GO:0002443"	"leukocyte mediated immunity"	"4/20"	"469/18888"	0.00852878464818763	8.0545842217484	5.0368425400464	0.00132558725555392	0.0243908055021922	0.0162326299013445	"IL13RA2/NKG7/CD27/CD28"	4
"BP"	"GO:0019724"	"B cell mediated immunity"	"3/20"	"212/18888"	0.0141509433962264	13.3641509433962	5.89418618786581	0.00138030436475751	0.0245783228821338	0.0163574269371943	"IL13RA2/CD27/CD28"	3
"BP"	"GO:1903131"	"mononuclear cell differentiation"	"4/20"	"484/18888"	0.00826446280991736	7.80495867768595	4.93771040446847	0.00148875991430108	0.0256811085216937	0.0170913555951012	"CD3D/CD27/CD28/CD3E"	4
"BP"	"GO:0032623"	"interleukin-2 production"	"2/20"	"63/18888"	0.0317460317460317	29.9809523809524	7.50151513413457	0.00200133176243933	0.0324922097901914	0.0216242967520534	"CD28/CD3E"	2
"BP"	"GO:0032663"	"regulation of interleukin-2 production"	"2/20"	"63/18888"	0.0317460317460317	29.9809523809524	7.50151513413457	0.00200133176243933	0.0324922097901914	0.0216242967520534	"CD28/CD3E"	2
"BP"	"GO:0050870"	"positive regulation of T cell activation"	"3/20"	"253/18888"	0.0118577075098814	11.198418972332	5.31694252817298	0.00228727218483741	0.0360735498865786	0.0240077591731807	"CD27/CD28/CD3E"	3
"BP"	"GO:0046635"	"positive regulation of alpha-beta T cell activation"	"2/20"	"73/18888"	0.0273972602739726	25.8739726027397	6.9324704105222	0.00267601892691843	0.0410322902127492	0.0273079124413606	"CD28/CD3E"	2
"BP"	"GO:0002637"	"regulation of immunoglobulin production"	"2/20"	"75/18888"	0.0266666666666667	25.184	6.83224281070009	0.00282212560493395	0.0421030630790146	0.0280205358782915	"IL13RA2/CD28"	2
"BP"	"GO:1903039"	"positive regulation of leukocyte cell-cell adhesion"	"3/20"	"277/18888"	0.0108303249097473	10.2281588447653	5.03736761312646	0.00295674082375581	0.0429505509135054	0.0285845581022376	"CD27/CD28/CD3E"	3
"BP"	"GO:2000514"	"regulation of CD4-positive, alpha-beta T cell activation"	"2/20"	"78/18888"	0.0256410256410256	24.2153846153846	6.6890176346088	0.00304819725101692	0.0431303852015052	0.0287042418675159	"CD28/CD3E"	2
"BP"	"GO:0043299"	"leukocyte degranulation"	"2/20"	"79/18888"	0.0253164556962025	23.9088607594937	6.64305333412324	0.00312539023199313	0.0431303852015052	0.0287042418675159	"IL13RA2/NKG7"	2
"BP"	"GO:0050871"	"positive regulation of B cell activation"	"2/20"	"83/18888"	0.0240963855421687	22.7566265060241	6.46736672474479	0.00344329224859394	0.0463584712493624	0.0308526057704567	"CD27/CD28"	2
"BP"	"GO:0002366"	"leukocyte activation involved in immune response"	"3/20"	"301/18888"	0.00996677740863787	9.41262458471761	4.79008986798522	0.00373611604785366	0.0491032394860767	0.0326793107945095	"IL13RA2/NKG7/CD28"	3
"BP"	"GO:0002263"	"cell activation involved in immune response"	"3/20"	"305/18888"	0.00983606557377049	9.28918032786885	4.75157017957713	0.00387708981151842	0.049771013394376	0.033123729356669	"IL13RA2/NKG7/CD28"	3
"CC"	"GO:0009897"	"external side of plasma membrane"	"6/20"	"405/19894"	0.0148148148148148	14.7362962962963	8.85981962616537	2.08790450256588e-06	0.00016703236020527	0.000107691916448135	"IL13RA2/CXCL9/CD3D/CD27/CD28/CD3E"	6
"CC"	"GO:0042105"	"alpha-beta T cell receptor complex"	"2/20"	"12/19894"	0.166666666666667	165.783333333333	18.1132494643152	6.29919245095008e-05	0.00251967698038003	0.00162452857945555	"CD3D/CD3E"	2
"CC"	"GO:0001772"	"immunological synapse"	"2/20"	"45/19894"	0.0444444444444444	44.2088888888889	9.20518531687606	0.000926267370923026	0.024700463224614	0.0159252986579748	"CD28/CD3E"	2
