category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	1/13	105/8847	0.00952380952380952	6.48131868131868	2.16740837488462	0.14385753244465	0.228969232726655	0.19220601814496	COL15A1	1
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	1/13	105/8847	0.00952380952380952	6.48131868131868	2.16740837488462	0.14385753244465	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	1/13	106/8847	0.00943396226415094	6.42017416545718	2.15353562543821	0.145130679559523	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Immune system	hsa04620	Toll-like receptor signaling pathway	1/13	109/8847	0.00917431192660551	6.24347212420607	2.11296663094924	0.148939642732189	0.228969232726655	0.19220601814496	CXCL9	1
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	1/13	111/8847	0.00900900900900901	6.13097713097713	2.086756149038	0.151470241670393	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Nervous system	hsa04725	Cholinergic synapse	1/13	115/8847	0.00869565217391304	5.91772575250836	2.03621113750111	0.156510614775182	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Endocrine system	hsa04928	Parathyroid hormone synthesis, secretion and action	1/13	115/8847	0.00869565217391304	5.91772575250836	2.03621113750111	0.156510614775182	0.228969232726655	0.19220601814496	ADCY1	1
Organismal Systems	Endocrine system	hsa04935	Growth hormone synthesis, secretion and action	1/13	122/8847	0.00819672131147541	5.578184110971	1.953245792682	0.165264818654518	0.237380375885581	0.199266671296357	ADCY1	1
Organismal Systems	Immune system	hsa04611	Platelet activation	1/13	126/8847	0.00793650793650794	5.4010989010989	1.90866497313166	0.170229488656447	0.23877366514849	0.200436254555029	ADCY1	1
Organismal Systems	Endocrine system	hsa04926	Relaxin signaling pathway	1/13	130/8847	0.00769230769230769	5.23491124260355	1.8659453157773	0.175166889685064	0.23877366514849	0.200436254555029	ADCY1	1
Organismal Systems	Circulatory system	hsa04270	Vascular smooth muscle contraction	1/13	134/8847	0.00746268656716418	5.07864523536165	1.8249497891204	0.180077159099508	0.23877366514849	0.200436254555029	ADCY1	1
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	1/13	139/8847	0.00719424460431655	4.89596015495296	1.77594349078958	0.186177050274797	0.23877366514849	0.200436254555029	ADCY1	1
Organismal Systems	Endocrine system	hsa04915	Estrogen signaling pathway	1/13	139/8847	0.00719424460431655	4.89596015495296	1.77594349078958	0.186177050274797	0.23877366514849	0.200436254555029	ADCY1	1
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	1/13	139/8847	0.00719424460431655	4.89596015495296	1.77594349078958	0.186177050274797	0.23877366514849	0.200436254555029	CD28	1
Environmental Information Processing	Signal transduction	hsa04371	Apelin signaling pathway	1/13	140/8847	0.00714285714285714	4.86098901098901	1.76642318905879	0.187391990369701	0.23877366514849	0.200436254555029	ADCY1	1
Environmental Information Processing	Signal transduction	hsa04072	Phospholipase D signaling pathway	1/13	149/8847	0.00671140939597315	4.56737222509035	1.68460585351708	0.198251355141927	0.241404834138795	0.202644964033898	ADCY1	1
Organismal Systems	Nervous system	hsa04723	Retrograde endocannabinoid signaling	1/13	149/8847	0.00671140939597315	4.56737222509035	1.68460585351708	0.198251355141927	0.241404834138795	0.202644964033898	ADCY1	1
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	1/13	154/8847	0.00649350649350649	4.41908091908092	1.64191755454238	0.204226295623559	0.241404834138795	0.202644964033898	ADCY1	1
Organismal Systems	Endocrine system	hsa04921	Oxytocin signaling pathway	1/13	154/8847	0.00649350649350649	4.41908091908092	1.64191755454238	0.204226295623559	0.241404834138795	0.202644964033898	ADCY1	1
Human Diseases	Endocrine and metabolic disease	hsa04934	Cushing syndrome	1/13	155/8847	0.00645161290322581	4.39057071960298	1.63359819045818	0.20541634027522	0.241404834138795	0.202644964033898	ADCY1	1
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecules	1/13	157/8847	0.00636942675159236	4.33463988241058	1.61716868949601	0.207791502803013	0.241404834138795	0.202644964033898	CD28	1
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	1/13	166/8847	0.00602409638554217	4.09962928637627	1.54648377421698	0.218398852929668	0.249118788103478	0.20912036842797	ADCY1	1
